event_id,event_type,event_date,location,attendees,duration_hours,cost_per_attendee,sponsor,feedback_score,last_extraction,total_cost
event_1,workshop,2025-10-30,Phoenix,145,8,400.39,Company C,1.8352559557119763,2025-05-31 12:37:56.244200,58056.55
event_2,workshop,2025-09-08,Houston,304,2,39.72,Company C,3.1108927857304978,2025-05-22 12:37:56.244200,12074.88
event_3,concert,2026-01-21,Houston,377,3,116.11,Company C,4.199987741750862,2025-05-28 12:37:56.244200,43773.47
event_4,conference,2026-02-11,New York,385,2,482.52,Company A,2.5099720157494705,2025-06-01 12:37:56.244200,185770.2
event_5,webinar,2025-12-16,Houston,413,1,412.97,Company A,1.188433080670677,2025-06-13 12:37:56.244200,170556.61
event_6,webinar,2026-01-09,Chicago,288,1,110.84,Company C,1.0523839901422138,2025-05-25 12:37:56.244200,31921.92
event_7,workshop,2026-03-28,Los Angeles,130,5,84.42,Company B,2.9096010408562085,2025-06-10 12:37:56.244200,10974.6
event_8,workshop,2025-10-16,Los Angeles,262,6,368.0,Company C,1.9033321069610336,2025-06-11 12:37:56.244200,96416.0
event_9,workshop,2025-07-11,Los Angeles,406,3,41.58,Company A,3.5190399926581857,2025-05-22 12:37:56.244200,16881.48
event_10,webinar,2025-11-26,Houston,374,7,121.46,Company C,1.230519410627013,2025-06-02 12:37:56.244200,45426.04
event_11,workshop,2025-08-11,Houston,433,6,210.97,Company A,4.117752027983816,2025-06-11 12:37:56.244200,91350.01
event_12,conference,2025-12-30,Phoenix,117,1,427.95,Company B,4.993007263143296,2025-06-11 12:37:56.244200,50070.15
event_13,webinar,2025-07-25,Phoenix,75,3,23.79,Company C,1.1812768530746625,2025-06-03 12:37:56.244200,1784.25
event_14,concert,2025-07-13,Houston,147,1,399.74,Company C,1.294923270388499,2025-05-18 12:37:56.244200,58761.78
event_15,concert,2026-05-07,Chicago,66,2,360.08,Company C,1.2578911149487424,2025-05-20 12:37:56.244200,23765.28
event_16,webinar,2025-12-17,Houston,196,1,455.94,Company C,1.764902870442551,2025-06-03 12:37:56.244200,89364.24
event_17,webinar,2026-05-22,New York,399,5,210.63,Company A,2.2117112471355305,2025-05-17 12:37:56.244200,84041.37
event_18,conference,2026-04-13,Los Angeles,455,7,462.53,Company A,3.8378363440111256,2025-05-28 12:37:56.244200,210451.15
